sku,name,barcode,shortDescription,costPrice,mainPrice,wholesalePrice,wholesaleBoxQuantity,categoryId,brandId,stock_showroom,stock_الصالة
29842058,????? ???? bestape 50 mm,,,11.5,14,13,1,??????,bchara ghostin,2,0
3877406188,????? ???? LYNX 25 mm,,,0.45,0.75,0.65,1,??????,bchara ghostin,46,0
2294,????? ???? LYNX 50 mm,,,0.33,0.5,0.45,1,??????,bchara ghostin,51,0
20256583,????? ???? 36-80,,,0.75,1,0.9,1,??????,bchara ghostin,28,0
367913935,?????? flowertone R05 ???????,,,0.5,1,0.8,1,??????,bchara ghostin,6,0
4617114,?????? flowertone R15 ??? ?????,,,5.54,7,6.5,1,??????,bchara ghostin,3,0
968854468,?????? flowertone R55 ????,,,5.53,7,6.5,1,??????,bchara ghostin,6,0
68807,?????? flowertone R60 ??????,,,5.54,7,6.5,1,??????,bchara ghostin,3,0
403786,?????? flowertone R75 ????,,,4.63,6.5,6,1,??????,bchara ghostin,3,0
13846,?????? flowertone R76 ??? ????,,,4.21,6.5,6,1,??????,bchara ghostin,3,0
9680957,?????? flowertone R78 ????,,,5.53,7,6.5,1,??????,bchara ghostin,3,0
54189571,?????? flowertone R80 ????,,,5.87,7.5,6.5,1,??????,bchara ghostin,2,0
5407005910542,?????? ???? eazy gold 125 ml 901,,,5.53,7,6.5,1,??????,bchara ghostin,1,0
4342,?????? ????????? ????,,,7.25,8,8,1,??????,bchara ghostin,2,0
97288,??? ?????,,,1,2,1.8,1,??????,bchara ghostin,22,0
450894836,??? ????,,,3,4,3.5,1,??????,bchara ghostin,4,0
